gutenberg_id	title	author	sentence
1342	Pride and Prejudice	Jane Austen	My dear Lizzy, they must have passed within ten miles of us
1342	Pride and Prejudice	Jane Austen	Philips, and was, by her watchfulness, most abundantly supplied with coffee and muffin
1342	Pride and Prejudice	Jane Austen	She tried, however, to compose herself to answer him with patience, when he should have done
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	Windibank gave a violent start and dropped his gloves
1342	Pride and Prejudice	Jane Austen	The two first dances, however, brought a return of distress: they were dances of mortification
345	Dracula	Bram Stoker	I brought it from Amsterdam
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	The person or entity that provided you with the defective work may elect to provide a replacement copy in lieu of a refund
1342	Pride and Prejudice	Jane Austen	You and papa, and my sisters, must come down and see us
345	Dracula	Bram Stoker	This day nothing can find him here
1342	Pride and Prejudice	Jane Austen	Darcy, was one of the best men that ever breathed, and the truest friend I ever had; and I can never be in company with this Mr
345	Dracula	Bram Stoker	When I came back, I found him walking hurriedly up and down the room, his face all ablaze with excitement
345	Dracula	Bram Stoker	Oh, if only Morris and Seward were with us
345	Dracula	Bram Stoker	away from this cursed spot, from this cursed land, where the devil and his children still walk with earthly feet
345	Dracula	Bram Stoker	For two nights I had hardly had a wink of sleep, and my brain was beginning to feel that numbness which marks cerebral exhaustion
1342	Pride and Prejudice	Jane Austen	Collins, seeing that she was really unwell, did not press her to go, and as much as possible prevented her husband from pressing her; but Mr
1342	Pride and Prejudice	Jane Austen	Bennet, who was most anxious to get rid of him, and have his library to himself; for thither Mr
345	Dracula	Bram Stoker	the snow is not more stainless than her forehead
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	It seemed to me that her mistress allowed her to take great liberties
345	Dracula	Bram Stoker	I want to see your patient, Mr
345	Dracula	Bram Stoker	His eyes caught the look in mine, and, without his thinking, followed their direction
345	Dracula	Bram Stoker	Oh, what will to-morrow bring to us
345	Dracula	Bram Stoker	The time is coming for action; to-day this Vampire is limit to the powers of man, and till sunset he may not change
1342	Pride and Prejudice	Jane Austen	Lizzy declares she will not have Mr
345	Dracula	Bram Stoker	For so surely as we live, that scar shall pass away when God sees right to lift the burden that is hard upon us
345	Dracula	Bram Stoker	Last night was very threatening, and the fishermen say that we are in for a storm
345	Dracula	Bram Stoker	I remember, though I suppose I was asleep, passing through the streets and over the bridge
345	Dracula	Bram Stoker	I was sorry to notice that my clumsiness with the safety-pin hurt her
1342	Pride and Prejudice	Jane Austen	After a short silence the lady first spoke
345	Dracula	Bram Stoker	Your husband is noble nature, and you are noble too, for you trust, and trust cannot be where there is mean nature
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	My hand-mirror had been broken, so a happy thought seized me, and I concealed a piece of the glass in my handkerchief
345	Dracula	Bram Stoker	She wept, too, to see that her sweeter counsels had prevailed
1342	Pride and Prejudice	Jane Austen	Kitty is slight and delicate, and Mary studies so much that her hours of repose should not be broken in on
345	Dracula	Bram Stoker	I had hardly come to this conclusion when I heard the great door below shut, and knew that the Count had returned
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	I can assure you that it has nothing to do with the sad tragedy which followed
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	The game-keeper adds that within a few minutes of his seeing Mr
345	Dracula	Bram Stoker	He was interested in everything, and asked me a myriad questions about the place and its surroundings
1342	Pride and Prejudice	Jane Austen	His behaviour was attentive and kind to the utmost
1342	Pride and Prejudice	Jane Austen	But I must tell you how it went off
1342	Pride and Prejudice	Jane Austen	By tea-time, however, the dose had been enough, and Mr
345	Dracula	Bram Stoker	Quincey Morris, of Texas; Mr
1342	Pride and Prejudice	Jane Austen	From the entrance hall, of which Mr
345	Dracula	Bram Stoker	As we were holding him a strange thing happened
345	Dracula	Bram Stoker	I do in any case, and shall tell you if you are right
345	Dracula	Bram Stoker	She was still unconscious, and was quite as bad as, if not worse than, we had ever seen her
11	Alice's Adventures in Wonderland	Lewis Carroll	After a while, finding that nothing more happened, she decided on going into the garden at once; but, alas for poor Alice
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	I am glad to have a friend with whom I can discuss my results
345	Dracula	Bram Stoker	He is a decent, intelligent fellow, distinctly a good, reliable type of workman, and with a headpiece of his own
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	I feel better now, and I will put the facts before you as shortly and yet as clearly as I can
1342	Pride and Prejudice	Jane Austen	They are gone down to Newcastle, a place quite northward it seems, and there they are to stay, I do not know how long
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	The rooms were carefully examined, and results all pointed to an abominable crime
1342	Pride and Prejudice	Jane Austen	Gardiner that my niece is very desirous of seeing you all before she leaves the south
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	Then he closed the locket and handed it back to Lord St
345	Dracula	Bram Stoker	I found Renfield sitting placidly in his room with his hands folded, smiling benignly
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	James and his father had many disagreements about me
1342	Pride and Prejudice	Jane Austen	Bennet sat looking and winking at Elizabeth and Catherine for a considerable time, without making any impression on them
1342	Pride and Prejudice	Jane Austen	I will not be in a hurry to believe myself his first object
1342	Pride and Prejudice	Jane Austen	Colonel Forster will, I dare say, do everything in his power to satisfy us on this head
345	Dracula	Bram Stoker	It is strange that as yet I have not seen the Count eat or drink
345	Dracula	Bram Stoker	I feel sorry, really and truly sorry, for two of the poor fellows
345	Dracula	Bram Stoker	It seems that a man always does find a girl alone
1342	Pride and Prejudice	Jane Austen	Darcy looked just as he had been used to look in Hertfordshire, paid his compliments, with his usual reserve, to Mrs
345	Dracula	Bram Stoker	So I determined to write only formal notes now, but to write fully to Mr
345	Dracula	Bram Stoker	I had seen them speer at the fellow, and put out their twa fingers when they saw him, to guard against the evil eye
345	Dracula	Bram Stoker	Billington, of 7, The Crescent, who this morning went aboard and formally took possession of the goods consigned to him
1342	Pride and Prejudice	Jane Austen	She answered with equal indifference and brevity, and the other said no more
345	Dracula	Bram Stoker	He said to Madam Mina, as I see in your diary of yesterday, that he had once had such a belief
345	Dracula	Bram Stoker	And your police and other authority help him all they can
345	Dracula	Bram Stoker	I went on to make a thorough examination of the various stairs and passages, and to try the doors that opened from them
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	Holmes pushed open the door of the private bar and ordered two glasses of beer from the ruddy-faced, white-aproned landlord
345	Dracula	Bram Stoker	It was so nice to be able to tell you and to have your sympathy
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	It is a hereditary matter; so in order to give you an idea of the facts, I must go back to the commencement of the affair
345	Dracula	Bram Stoker	To-morrow we are to see the Vice-Consul, and to arrange, if we can, about getting on board the ship as soon as she arrives
1342	Pride and Prejudice	Jane Austen	I wonder when you _would_ have spoken if I had not asked you
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	He is not a bad fellow, though an absolute imbecile in his profession
1342	Pride and Prejudice	Jane Austen	Her fellow-travellers the next day were not of a kind to make her think him less agreeable
1342	Pride and Prejudice	Jane Austen	The subject which had been so warmly canvassed between their parents, about a twelvemonth ago, was now brought forward again
